 ,X,Y
862,52.500,117.500
863,57.500,117.500
864,62.500,117.500
865,67.500,117.500
866,72.500,117.500
867,77.500,117.500
868,82.500,117.500
869,87.500,117.500
870,92.500,117.500
871,97.500,117.500
872,102.500,117.500
873,107.500,117.500
874,112.500,117.500
875,117.500,117.500
876,122.500,117.500
877,127.500,117.500
878,132.500,117.500
879,137.500,117.500
880,142.500,117.500
881,147.500,117.500
882,152.500,117.500
883,157.500,117.500
884,162.500,117.500
885,167.500,117.500
886,172.500,117.500
887,177.500,117.500
888,180.500,117.500
889,2.500,122.500
890,7.500,122.500
891,12.500,122.500
892,17.500,122.500
893,22.500,122.500
894,27.500,122.500
895,32.500,122.500
896,37.500,122.500
897,42.500,122.500
898,47.500,122.500
899,52.500,122.500
900,57.500,122.500
901,62.500,122.500
902,67.500,122.500
903,72.500,122.500
904,77.500,122.500
905,82.500,122.500
906,87.500,122.500
907,92.500,122.500
908,97.500,122.500
909,102.500,122.500
910,107.500,122.500
911,112.500,122.500
912,117.500,122.500
913,122.500,122.500
914,127.500,122.500
915,132.500,122.500
916,137.500,122.500
917,142.500,122.500
918,147.500,122.500
919,152.500,122.500
920,157.500,122.500
921,162.500,122.500
922,167.500,122.500
923,172.500,122.500
924,177.500,122.500
925,180.500,122.500
926,2.500,127.500
927,7.500,127.500
928,12.500,127.500
929,17.500,127.500
930,22.500,127.500
931,27.500,127.500
932,32.500,127.500
933,37.500,127.500
934,42.500,127.500
935,47.500,127.500
936,52.500,127.500
937,57.500,127.500
938,62.500,127.500
939,67.500,127.500
940,72.500,127.500
941,77.500,127.500
942,82.500,127.500
943,87.500,127.500
944,92.500,127.500
945,97.500,127.500
946,102.500,127.500
947,107.500,127.500
948,112.500,127.500
949,117.500,127.500
950,122.500,127.500
951,127.500,127.500
952,132.500,127.500
953,137.500,127.500
954,142.500,127.500
955,147.500,127.500
956,152.500,127.500
957,157.500,127.500
958,162.500,127.500
959,167.500,127.500
960,172.500,127.500
961,177.500,127.500
962,180.500,127.500
963,2.500,132.500
964,7.500,132.500
965,12.500,132.500
966,17.500,132.500
967,22.500,132.500
968,27.500,132.500
969,32.500,132.500
970,37.500,132.500
971,42.500,132.500
972,47.500,132.500
973,52.500,132.500
974,57.500,132.500
975,62.500,132.500
976,67.500,132.500
977,72.500,132.500
978,77.500,132.500
979,82.500,132.500
980,87.500,132.500
981,92.500,132.500
982,97.500,132.500
983,102.500,132.500
984,107.500,132.500
985,112.500,132.500
986,117.500,132.500
987,122.500,132.500
988,127.500,132.500
989,132.500,132.500
990,137.500,132.500
991,142.500,132.500
992,147.500,132.500
993,152.500,132.500
994,157.500,132.500
995,162.500,132.500
996,167.500,132.500
997,172.500,132.500
998,177.500,132.500
999,180.500,132.500
1000,2.500,137.500
1001,7.500,137.500
1002,12.500,137.500
1003,17.500,137.500
1004,22.500,137.500
1005,27.500,137.500
1006,32.500,137.500
1007,37.500,137.500
1008,42.500,137.500
1009,47.500,137.500
1010,52.500,137.500
1011,57.500,137.500
1012,62.500,137.500
1013,67.500,137.500
1014,72.500,137.500
1015,77.500,137.500
1016,82.500,137.500
1017,87.500,137.500
1018,92.500,137.500
1019,97.500,137.500
1020,102.500,137.500
1021,107.500,137.500
1022,112.500,137.500
1023,117.500,137.500
1024,122.500,137.500
1025,127.500,137.500
1026,132.500,137.500
1027,137.500,137.500
1028,142.500,137.500
1029,147.500,137.500
1030,152.500,137.500
1031,157.500,137.500
1032,162.500,137.500
1033,167.500,137.500
1034,172.500,137.500
1035,177.500,137.500
1036,180.500,137.500
1037,2.500,142.500
1038,7.500,142.500
1039,12.500,142.500
1040,17.500,142.500
1041,22.500,142.500
